gift	christmas	0.6000882181318737	3.361532125269724

larger	small	0.5235730610924392	1.7421438819824557
larger	large	0.6989453328234495	2.643692332119407
larger	size	0.6880654967791187	2.1377566936476082
small	big	0.3866886483638352	1.9863408424944977
small	smaller	0.6440030085356717	1.4544618095306745
small	large	0.6637251599844254	1.652912748254513
small	size	0.6434205231462498	1.734763774684833
small	compact	0.686535080553073	1.6776053608448844
small	tiny	0.6747019824172096	1.6169807390284496
small	huge	0.3611634512983214	1.7421438819824557
big	smaller	0.3558306985009164	0.8331403635419847
big	size	0.2680299314597383	0.9956592930397599
big	tiny	0.402068184058041	2.3819536541596507
big	bigger	0.5409658852438131	2.4425782759760852
big	huge	0.656503653870483	1.813969616553711
smaller	large	0.7486579291615871	0.9697158985477354
smaller	size	0.7595126461420181	0.4637802600759366
large	size	0.6894154387021862	1.1322348280455106
large	bigger	0.6277155131322351	2.5791538109818357
large	huge	0.5604825360273629	1.9505451515594616
size	compact	0.6156251042527457	1.3800709919500918
size	bigger	0.649842132304123	2.073218172510037
tiny	huge	0.4188501833630637	2.8309038742075536

reason	star	0.6861164226479447	2.773745460367605

tablet	samsung	0.2249213463742007	1.9672695945006564
tablet	tab	0.4832654842419063	0.7996644343455953
tablet	blackberry	0.5848720327416793	1.7441260431864465
tablet	android	0.6562641164926775	1.2921409194433895
tablet	motorola	0.46092861912234573	1.8442095017434292
tablet	galaxy	0.5738555379791831	1.898276723013705
tablet	xoom	0.6731480182154821	2.149591151294611
samsung	smartphone	0.23291865447255633	2.475013551729239
samsung	tab	0.5305185121475336	4.4521762442886565
samsung	blackberry	0.3215909818758136	4.4803471212553525
samsung	motorola	0.3933314696034227	4.398109023018381
samsung	droid	0.15745650542246192	3.094052760135462
samsung	galaxy	0.6595342560128109	4.683287965252044
samsung	xoom	0.3988116962386814	4.010343492009618
smartphone	droid	0.790588087592929	3.1681607322891843
tab	blackberry	0.6326124706509237	4.229032692974447
tab	motorola	0.5972000766824084	4.329116151531429
tab	galaxy	0.7978648193795667	4.7886484809098695
