gift	christmas	0.6000882181318737	2.749405386784124

larger	small	0.5235730610924392	0.6313260523988742
larger	big	0.34425483018745273	1.4707187332789644
larger	smaller	0.865944472256755	2.93902624605969
larger	large	0.6989453328234495	2.0108407265333863
larger	size	0.6880654967791187	1.2747117233997556
larger	tiny	0.5016802255221813	2.6513441736079093
larger	bigger	0.8051100564743583	2.0807993151402964
small	big	0.3866886483638352	1.5172387489138572
small	smaller	0.6440030085356717	2.0917283856724866
small	large	0.6637251599844254	1.0457598304897988
small	size	0.6434205231462498	1.5260261516806617
small	tiny	0.6747019824172096	1.3985812051125412
small	bigger	0.581383578099658	0.8280363466449282
big	smaller	0.3558306985009164	1.4270436697763025
big	large	0.4236915112233429	0.49885815024999863
big	size	0.2680299314597383	1.2668065438926424
big	bigger	0.5409658852438131	1.6674290275250188
smaller	large	0.7486579291615871	0.5808713019108336
smaller	size	0.7595126461420181	2.447431984221587
large	size	0.6894154387021862	1.4014634290388994
size	bigger	0.649842132304123	0.7782748370858644

service	company	0.6895634330145887	2.5952547069568657

reason	star	0.6861164226479447	2.9294567950435395
reason	rating	0.6180286885249151	2.9137084380754
star	due	0.6454294478983346	1.6327745926133361
star	rating	0.7968693907969453	3.9353596856073816

seconds	half	0.412152175847209	2.25692890168633
seconds	hour	0.4135440842926872	1.844083686280543
seconds	minute	0.727822626611248	1.4684715413220597
half	hour	0.5807777687055526	1.620940134966333
half	minute	0.546235176839721	1.938475170567795
hour	minute	0.6978925166556766	2.624242243830118

accurate	accuracy	0.7487776950349394	1.0529560973603938

durable	sturdy	0.8344418581306812	2.0472083707042605
durable	design	0.6795415194087312	0.9302469433679544
durable	construction	0.7286751055680212	3.2328320363620002
sturdy	design	0.5560659876309415	1.6507930981160142
sturdy	construction	0.7082102748530376	3.2602310105501147

daily	everyday	0.7150509024180149	1.4584212054685581

purchase	wrong	0.5450443556534067	1.1632671181780763

cover	plastic	0.70935803419646	1.9903002384323814
flimsy	solid	0.5531989113952961	2.719552423634443
flimsy	cheap	0.6588727754435163	2.4172715517615093
flimsy	thin	0.8340684613846532	2.780177045450878
plastic	rubber	0.7123848788352738	2.3004551667362207
plastic	metal	0.8742424964012973	2.1928245025438553
plastic	cheap	0.6196750075257516	1.9683213317136061
solid	cheap	0.5728706452436213	1.5989612282475578
solid	thin	0.5390097305562261	1.556401613828762
rubber	metal	0.784410795141115	2.6642475784438173
rubber	thick	0.7549647451922387	3.2061637892798385
metal	cheap	0.5084103719763022	1.2335014547530927
