vhs	vcr	0.7448075517107632	2.636503049810162

installation	setup	0.7068432491792914	2.8551922507749916

reason	star	0.6861164226479447	2.04097526085204
star	rating	0.7968693907969453	3.5263605246161616

process	minute	0.6073058765484353	1.9278516827142516
half	hour	0.5807777687055526	1.500646587969681
hour	minute	0.6978925166556766	0.7274566997361993

code	remote	0.5293144339007532	0.3370478498250439
code	region	0.7011321149773967	3.166725539048952
code	universal	0.6620362582232243	3.1767758749024537
control	remote	0.5961781304139394	2.530223838635263
remote	universal	0.719838466613494	2.605731391143408

accessory	case	0.6102796068105358	1.6072025610322813

computer	pc	0.8046429823416009	2.629828942722469
computer	laptop	0.669682051599966	3.5808052325845137
pc	laptop	0.6481006168913788	3.5101876653705606

default	auto	0.5437631894526397	4.733963096992676
default	setting	0.5890164246831741	4.373960362961269
auto	setting	0.5451492953829147	4.0638054346574295

play	track	0.6962115594228205	2.8635605004455083
play	pause	0.6867955658581002	3.423176288380931

trip	road	0.7674818020680103	4.090316560205761
trip	car	0.5851858663176376	2.6394836779482995
trip	mile	0.6719576877717038	2.744844193606126
charger	car	0.5497846799402025	3.4429789156771102
road	car	0.5065364401240632	1.4280758951348456
car	mile	0.4410088244008762	2.162045070215046

gift	christmas	0.6000882181318737	3.520940457146822

friend	research	0.5408882719654773	2.3886668859055806

sound	video	0.2370557174951301	0.2598454161290835
sound	output	0.35956768806851747	0.4080259289698382
sound	coaxial	0.2092556546375285	1.4758665589711941
sound	rca	0.12673014295868257	0.23617567204317907
sound	equalizer	0.5547795042642883	2.487467470649674
sound	playback	0.4316446351565153	0.06709934199924485
sound	audio	0.5295296177988614	0.6329071001825884
sound	digital	0.25234065425509056	0.8360653591165416
sound	comcast	0.054942369210223996	1.571176738775519
sound	receiver	0.1528309647671967	1.1011731095297834
sound	dolby	0.45948811900883846	0.9833900738734
sound	input	0.17761330829237398	0.4893715684237906
sound	bass	0.5470523395296094	1.9766418468836833
sound	analog	0.29956122401586693	2.3051459138557195
sound	bose	0.3418595864574866	1.3888551819815642
sound	component	0.14537906841463366	1.188184486519413
sound	reciever	0.1823445395557184	2.3696844349932906
sound	stereo	0.49337255080015474	2.225103206182183
sound	speaker	0.5963200816235475	2.0141797662027483
sound	progressive	0.2979606345091066	0.1360922134861962
sound	optical	0.16953727815426511	1.4578480534685156
box	video	0.05694582759555478	0.7611015888789237
box	coaxial	0.3801868302167122	2.094905767377418
box	rca	0.3571847491007838	0.8552148804494024
box	cable	0.5507669439103913	2.28706577317166
box	digital	0.33139200261853663	0.8954887795873423
box	comcast	0.631653210441867	2.8833631277416876
box	receiver	0.37009997812257156	1.8537437105605294
box	hdmus	0.49106418975977273	1.1255052101893142
box	format	0.1223904203284949	1.3719056236677911
box	input	0.2626656227519444	1.5138758849381784
box	optical	0.2139699227194527	1.160596530000584
video	dt	0.34502379457317023	1.4260778924721724
video	output	0.28857285383821085	2.2857982728579334
video	coaxial	0.08310176608088948	2.611701558129912
video	rca	0.10738002799156066	1.9316264591373193
video	file	0.4423123134141891	1.7261824849225107
video	playback	0.6174258260051099	1.202934341157963
video	audio	0.48314343844868446	2.136466879466624
video	cable	0.06783804784025949	0.7985279943980405
video	digital	0.29347788254306884	1.9719003582752594
video	dts	0.3312087110549574	1.0583531123468553
video	format	0.5934631952854685	1.1955542338603402
video	dolby	0.29868932483395993	1.7137599649239537
video	input	0.18580697898206444	1.943660298701043
video	bass	0.021058677068656495	0.627570196254401
video	analog	0.14890970865768272	2.237008108688501
video	component	0.09940529449486624	2.9301552892484466
video	av	0.09401924043736787	0.9842451401931332
video	stereo	0.1536111066031396	1.4638182204550194
video	progressive	0.3108912565100026	0.9842451401931332
video	optical	0.12154066714994183	1.9005358720672882
dt	output	0.6214169053051676	3.953804539443101
dt	playback	0.5817911195878583	2.737409215118608
dt	audio	0.6055483695508143	2.4922867570856226
dt	digital	0.5273064480528219	3.6399066248604273
dt	dts	0.9274894502480113	3.979122347427391
dt	receiver	0.5563153798571232	2.5187200141537787
dt	hdmus	0.44218761025461517	3.1767758749024537
dt	dolby	0.8753208867797867	5.039994308112654
dt	component	0.5175940504769808	2.7598820709706664
dt	av	0.546714528733614	3.905014375273669
dt	progressive	0.7503713779947813	2.8064020866055595
output	coaxial	0.6924382740773394	3.570812287186995
output	rca	0.7608827953969398	2.801125029504716
output	playback	0.44924090864519217	1.6512194464490555
output	audio	0.7406685942836668	2.253394848803274
output	cable	0.5077952065256034	1.5344951721409141
output	digital	0.46865736433273597	3.0132491855693146
output	dts	0.5879394953390183	2.892932578757838
output	receiver	0.6059306273574885	1.4325302454842257
output	hdmus	0.6796410522995778	1.6851209981247368
output	format	0.3329400692608405	0.13976194237515882
output	dolby	0.6560591394344413	3.461328054345307
output	input	0.8531562782628116	2.4789567809817656
output	analog	0.748204683845585	3.2606573588831558
output	component	0.6758400599623784	3.4082933576892205
output	av	0.6475921451265094	2.4133594984959523
output	stereo	0.6297996511411875	2.199785398197893
output	speaker	0.4150478572307157	0.24839578337795418
output	progressive	0.5571612044570354	1.3147472098278423
output	optical	0.6367623820871976	3.2242897147122807
coaxial	rca	0.787126958694857	3.8044271383685007
coaxial	playback	0.13902623082105092	2.5367385196564567
coaxial	audio	0.5360322840581697	3.3902283502915815
coaxial	cable	0.6407136063395169	2.9590107460810025
coaxial	digital	0.43114131345323536	3.8447010375064403
coaxial	receiver	0.6544946030557012	3.0111964992515725
coaxial	dolby	0.6203513207636935	3.740711323982393
coaxial	input	0.7336253091711926	2.2658635655210575
coaxial	analog	0.8435234230558462	4.551641540198721
coaxial	component	0.681192259178419	4.350970844736571
coaxial	stereo	0.5601046974196313	3.7784516519652396
coaxial	optical	0.5532878294400936	4.397490860371463
rca	playback	0.21691926460186417	1.2970476327284417
rca	audio	0.5451998865196137	2.150537463363566
rca	cable	0.5730662685306404	2.1247849672611516
rca	digital	0.2867117766692546	2.4226885937844704
rca	receiver	0.624081818587676	1.7715056123235575
rca	hdmus	0.7882657658368042	1.7364142925122874
rca	input	0.7851109204812747	1.026172678593042
rca	analog	0.7125783349918401	4.005097833830652
rca	component	0.7772059240416227	2.9289584010146004
rca	av	0.8329839071122157	2.464652792883503
rca	stereo	0.5906443125947608	1.8456135844772794
rca	optical	0.5315666427981127	2.464652792883503
yamaha	audio	0.3279637081527834	2.3869262414277967
yamaha	digital	0.25925423070294706	2.8413989286426555
yamaha	receiver	0.7846303896281839	3.7996538596158427
yamaha	dolby	0.5506489478511991	4.529168684346663
yamaha	speaker	0.5787432185482231	3.0209845056177356
file	audio	0.44216174314302625	0.3074846997479607
file	format	0.8302086686320475	2.2192034840549946
equalizer	bass	0.635217881297975	4.646951720003046
equalizer	stereo	0.5002903686900928	3.69144027497561
playback	audio	0.6496456087252839	0.8828488446515227
playback	digital	0.34381836460159776	0.6441743513064362
playback	dts	0.51957905426306	2.3696844349932906
playback	receiver	0.1772504190617572	0.9092821017196783
playback	hdmus	0.18703532224715658	1.5673379624683534
playback	format	0.6600968255999037	0.7151260872787207
playback	dolby	0.44913912829356895	2.3319441070104436
playback	analog	0.27474399223139767	2.449727142666827
playback	component	0.2543259949895307	1.8435913390965115
playback	av	0.18454078837884969	2.295576462839569
playback	progressive	0.4823065429067368	1.1969641741714592
playback	optical	0.252994100808143	1.6024292822796236
audio	cable	0.34391311032930316	1.5282646223902778
audio	digital	0.46930341626447136	2.190811362501506
audio	receiver	0.37588677725452757	2.168237040462967
audio	hdmus	0.4626954818250084	0.6290683238754229
audio	format	0.5831667647207807	0.47000362924573563
audio	dolby	0.6562162641534589	2.646437436912881
audio	input	0.6231615279357298	1.017438998624287
audio	bass	0.26375711514459166	1.6937790608678513
audio	analog	0.6103373324980106	2.2046046846338423
audio	component	0.5327454039608519	2.0039339891716907
audio	av	0.4867329385999499	2.050454004806584
audio	reciever	0.25164482112583175	1.7991395765256775
audio	stereo	0.6494797862145566	2.347705528274515
audio	speaker	0.40542341365936574	1.4949282021226862
audio	progressive	0.45567757680421384	0.2586945355785287
audio	optical	0.5273775592197127	2.743601185366529
