reason	star	0.6861164226479447	2.447011222929309
star	rating	0.7968693907969453	2.447011222929309

seller	delivery	0.7016108283171091	1.5612905571398323
seller	shipping	0.7061870862554795	2.2099859751289435
seller	free	0.47199554259784704	1.607810572774725
seller	return	0.6807094562523945	2.8605735412700932
shipping	free	0.4961748951633218	3.284500712217993
shipping	return	0.6656187933355203	2.7455042114853057

larger	small	0.5235730610924392	1.3448211129133154
larger	smaller	0.865944472256755	3.812028185601915
larger	reader	0.2023497462341456	0.915825507394957
larger	slot	0.2165960880981601	2.0743359376441357
larger	capacity	0.42090603493202305	1.2926353597427453
larger	sd	0.061596722600029796	0.4073281733885575
larger	large	0.6989453328234495	1.786653865192355
larger	bigger	0.8051100564743583	2.805223446186928
larger	size	0.6880654967791187	0.9634535563842118
larger	micro	0.15934466559008598	1.904436900848738
larger	sdhc	0.07287524091977349	0.915825507394957
larger	transcend	0.08939159633267746	2.8852661538604645
small	smaller	0.6440030085356717	1.3961144073008662
small	compact	0.686535080553073	1.5073400424110903
small	storage	0.32960291164245215	1.2196579699593095
small	capacity	0.2799769984352054	0.9561631231215325
small	large	0.6637251599844254	1.450181628571142
small	size	0.6434205231462498	0.6269813197629989
small	tiny	0.6747019824172096	1.2960309487438837
small	drive	0.15822013150287528	1.3961144073008662
smaller	space	0.4827104432656446	1.2318113560095898
smaller	capacity	0.39033098257845045	2.037075834690241
smaller	gb	0.1661741621256394	0.7580270039239481
smaller	sansa	0.016056794910176087	2.3769436603125924
smaller	microsdhc	0.11258957279964976	2.2434122676880697
smaller	size	0.7595126461420181	1.7078940313317075
smaller	micro	0.09891890781768631	1.2625830146763433
smaller	tiny	0.587665079816936	2.3769436603125924
smaller	transcend	0.06256743697303813	2.936559448248015
compact	slot	0.1307517273811547	2.2368548671419104
compact	size	0.6156251042527457	1.1259724858819866
compact	flash	0.2111418607501523	1.8951055734198539
gig	capacity	0.6429907706028204	2.4966081640686815
gig	sd	0.5674626286981724	0.5126886890463841
gig	hard	0.2403619940728685	2.041546114821145
gig	class	0.5307695058353555	0.6715122745730346
gig	micro	0.5781295492442695	1.3166502359466192
gig	drive	0.395551474700084	2.531094340139851
gig	flash	0.5413886013278579	1.1447999790199601
reader	microsd	0.8528741134978107	1.6089726879549024
reader	fuze	0.4049947272374257	1.8321162392691122
reader	slot	0.7831915375872909	1.7143332036127288
reader	capacity	0.454671098837478	0.5271675176031739
reader	sd	0.7433741881668687	0.7404726199170959
reader	hard	0.13676976425285792	0.47757057646380185
reader	large	0.12068409100186406	0.3280388424928381
reader	sansa	0.4632846257336173	1.965647631893635
reader	microsdhc	0.8371742008795953	1.8321162392691122
reader	external	0.2886746200450182	2.119798311720893
reader	size	0.15141926566550357	0.6034508223528047
reader	micro	0.6515434842406156	0.4458218781492215
reader	tiny	0.21155372723770172	2.4764732556596254
reader	sdhc	0.7935431228134683	1.8551057574938108
reader	drive	0.41379071111102017	2.065731090450617
reader	transcend	0.7083592606274378	2.119798311720893
reader	flash	0.5941414196725853	0.6794367293307267
microsd	slot	0.8161711379486686	1.851192386329926
microsd	storage	0.7386534437496252	0.9275215471581484
microsd	psp	0.7828212191389758	2.055986798975939
microsd	space	0.32568128758599424	0.9573745103078295
microsd	capacity	0.5624333715837628	0.37634462786859035
