garmin	runner	forerunner	training	software	marathon	tool	center	map	info	
service	support	replacement	customer	nec	tech	technical	sony	star	free	
calorie	pace	elevation	workout	mile	run	datum	distance	gp	bike	
easy	button	control	adjustment	mode	user	display	option	design	simple	
computer	tv	speaker	power	home	dvd	sound	system	camera	room	
color	brightness	contrast	bright	dell	box	setting	sharpness	angle	vivid	
price	feature	model	review	viewsonic	range	money	friend	purchase	performance	
device	battery	minute	run	hour	satellite	datum	gps	long	life	
lcd	crt	trinitron	panel	flat	samsung	inch	area	sony	reason	
video	dvi	vga	cable	card	pc	input	computer	hdmus	hdmi	
watch	big	size	small	wrist	large	strap	comfortable	experience	complaint	
screen	side	black	line	white	top	space	light	point	vertical	
picture	game	web	response	movie	photo	page	edge	gaming	setting	
rate	heart	calorie	pace	elevation	distance	accurate	speed	average	polar	
display	resolution	text	image	pixel	high	clear	sharp	dead	eye	
average coherence	-1503.8653993979692
