boxwave	review	pogo	pressure	star	sketch	device	smaller	application	feel	
hand	small	size	weight	big	length	comfortable	cheap	inch	light	
price	money	deal	worth	glad	hard	shipping	expensive	works	high	
device	purchase	point	customer	idea	couple	service	company	sturdy	con	
note	app	typing	game	penultimate	handwriting	handy	durable	result	sensitivity	
book	page	holder	angle	stand	tablet	large	easy	bookgem	side	
finger	easier	light	button	accurate	wrong	nail	precise	oils	trouble	
phone	cable	device	usb	cord	charger	car	extra	retractable	datum	
touch	iphone	capacitive	fire	black	apple	ipod	galaxy	samsung	color	
screen	protector	touch	fingerprint	smudge	glass	computer	word	clean	works	
cloth	tablet	piece	job	free	easy	bag	bubble	box	cleaning	
pen	point	ball	paper	regular	average	real	cap	refill	shorter	
end	jack	headphone	plastic	string	top	place	short	plug	pen	
tip	rubber	fingernail	soft	squishy	firm	nataal	hollow	ballpoint	rubbery	
clip	case	fire	pocket	cover	metal	longer	matter	hard	acase	
average coherence	-1344.5887826046903
