format	wmv	rechargeable	video	playback	codec	life	charger	wtv	usb	
expensive	cheaper	review	buy	chance	purchase	comment	research	dont	extra	
arrow	backspace	fn	led	light	typing	letter	yellow	key	green	
small	room	theater	bedroom	larger	lightweight	space	compact	house	player	
simple	breeze	setup	ease	email	quick	super	technical	intuitive	support	
button	command	universal	control	mute	harmony	remote	code	programming	push	
coaxial	toslink	hdmi	hdmus	component	vga	av	optic	cable	output	
showbiz	driver	arcsoft	software	hauppauge	wintv	hauppage	device	computer	pvr	
game	vcr	logitech	dvd	harmony	disc	bluray	content	youtube	netflix	
audio	dts	dolby	pc	os	windows	xp	controller	analog	output	
broadcast	tv	pvr	hd	directv	satellite	comcast	dvr	television	show	
speaker	microphone	bass	switch	sound	position	clarity	desktop	dell	stereo	
onkyo	system	corner	entertainment	sharp	color	bottom	theater	short	extension	
keyboard	numeric	typing	transceiver	combo	ergonomic	ability	minor	rating	menu	
minute	stb	strength	signal	half	weak	channel	hour	record	blaster	
average coherence	-1240.4080650575338
