flimsy	plastic	sleek	lightweight	attractive	con	construction	design	appearance	cheap	
smaller	back	front	located	bigger	hand	space	side	switch	larger	
tuner	radio	station	analog	moonbeam	preset	sleeper	cricket	older	model	
outlet	ac	timer	knob	dial	power	level	frequency	adapter	open	
pink	number	dst	soft	face	job	brighter	atomic	machine	accurate	
simple	small	easy	intuitive	interface	convenient	setup	lightweight	compact	programming	
aaa	aa	solar	life	battery	flight	longer	table	desk	short	
button	push	menu	control	buy	piece	price	cost	lego	purchase	
minute	half	brightness	lowest	mode	auto	brighter	option	feature	color	
living	travel	bedroom	kitchen	room	kid	ceiling	idea	real	guest	
audible	loud	sound	speaker	display	stereo	readable	hearing	level	eye	
christmas	reception	gift	antenna	present	mom	birthday	weak	doctor	distance	
warranty	bulb	replacement	morning	today	seller	wire	ceiling	hard	cd	
groggy	vibrator	snooze	due	rating	star	background	simulator	noise	review	
light	dark	dim	glow	bright	sun	red	green	indicator	lighting	
average coherence	-1244.2442495217963
