wav	wma	format	file	directory	folder	conversion	output	playlist	itune	
computer	hub	usb	adapter	extra	buck	connector	adaptor	expensive	port	
microsd	storage	slot	internal	memory	card	gig	gb	flash	external	
expensive	cheaper	older	audiobook	panasonic	model	newer	singing	sony	buy	
easy	super	simple	straightforward	interface	convenient	intuitive	quick	star	complicated	
aa	rechargeable	aaa	pack	life	rechargable	charge	charger	battery	overnight	
audible	loud	bass	sound	superb	speaker	background	microphone	dictation	cell	
voice	recording	vcva	xhq	menu	layout	pcm	button	radio	professor	
pocket	clip	pouch	meeting	personal	student	belt	olympus	conversation	distance	
player	olympus	itunes	wma	screen	voc	lcd	font	readable	wav	
headphone	clear	mic	microphone	ear	jack	crisp	earbud	speaker	lapel	
instruction	device	manual	step	talk	owner	record	correct	direction	special	
windows	os	software	pc	mac	linux	program	driver	xp	compatible	
minute	hour	half	positive	comment	mode	sleep	review	negative	purchase	
level	lowest	frequency	high	user	vcva	support	default	option	documentation	
average coherence	-1293.408855850691
