level	distortion	high	mid	frequency	inline	price	midrange	loud	tone	
overwhelming	vocal	midrange	bass	muddy	freq	rich	guitar	tinny	musical	
player	pressure	soft	zen	transmitter	itunes	reception	interference	fan	building	
comfortable	shape	cushion	secure	sore	velour	headband	canal	wear	discomfort	
cancellation	canceling	noise	background	nano	isolation	audible	subway	ipod	train	
side	front	belt	loose	minor	noticeable	complaint	bulky	road	biggest	
rating	due	red	older	simple	similar	newer	setup	star	model	
canal	ear	fit	fitting	uncomfortable	earplug	earpiece	headband	head	conversation	
pioneer	charge	life	aaa	large	amp	rechargeable	small	ohm	compact	
flimsy	positive	con	construction	lightweight	rock	research	review	listening	glad	
music	cord	extension	genre	playing	itunes	connector	lossless	album	back	
hour	show	half	game	movie	minute	ready	kid	couple	amount	
fm	house	living	adaptor	plug	mm	theater	station	tune	office	
sound	rich	superb	crisp	clarity	clear	eq	bass	stereo	speaker	
skullcandy	shure	pair	etymotic	portapro	sennheiser	beyerdynamic	koss	fitting	skull	
average coherence	-1249.0376651540294
