connection	star	broadband	ability	device	due	cable	wireless	tv	price	
software	dont	easy	money	extra	dollar	cost	expensive	complete	installation	
picture	cam	video	web	clear	extension	end	cord	distance	plastic	
simple	setup	quick	step	minute	breeze	super	process	intuitive	easier	
smaller	large	price	small	con	tiny	decent	fun	portable	sleek	
research	negative	review	today	glad	expensive	model	purchase	previous	gift	
yahoo	gmail	skype	chat	facebook	conferencing	application	pic	messenger	download	
dim	dark	light	bright	green	contrast	lighting	sharpness	red	brightness	
image	blurry	subject	focus	auto	exposure	zoom	feature	angle	film	
logitech	lifecam	website	creative	similar	microsoft	driver	experience	update	quickcam	
core	pentium	amd	intel	processor	ram	hard	ghz	gig	card	
video	support	helpful	technical	phone	person	message	tech	service	cell	
headset	microphone	speaker	high	voice	mic	low	definition	level	conversation	
os	xp	mac	usb	windows	pc	driver	win	ubuntu	compatible	
flat	lcd	monitor	dell	resolution	laptop	vga	angle	control	top	
average coherence	-132.63226650869944
