hub	usb	dongle	computer	adaptor	hard	port	mini	kvm	extension	
backslash	esc	touch	numeric	simultaneous	responsive	kb	alt	enter	sensitive	
flimsy	construction	protective	feel	metal	plastic	aluminum	case	material	trent	
quick	simple	instruction	laptop	setup	manual	tv	step	super	user	
life	rechargeable	aaa	aa	charge	solar	hour	battery	charger	half	
wireless	router	stream	market	roku	room	hulu	streaming	android	pandora	
key	color	image	matte	cover	typing	glossy	brightness	finish	white	
os	windows	xp	linux	win	ubuntu	driver	software	pc	system	
review	rating	previous	comment	research	star	reviewer	chance	tech	shipping	
function	menu	select	button	mute	control	navigation	volume	command	programmable	
glow	dark	dim	light	bright	red	backlight	green	indicator	purple	
mouse	foot	laser	decent	distance	device	high	regular	couple	word	
logitech	mx	unifying	cordless	trackball	buck	harmony	choice	extra	glad	
shoulder	comfortable	hand	small	palm	compact	finger	arm	wrist	grip	
side	front	back	edge	located	table	corner	line	position	chair	
average coherence	-127.8810024135519
