review	positive	comment	experience	star	previous	bigger	larger	online	website	
minute	longer	result	entire	effort	hour	short	ready	video	difficult	
weight	workout	handweight	hand	dvd	free	bicep	part	woman	toning	
muscle	exercise	toning	routine	resistance	movement	training	muscular	biceps	mass	
powerblocks	cumbersome	shaped	selecttech	dumbell	powerblock	optimal	tier	elite	excercise	
arm	chest	position	neck	ab	sore	pain	body	head	shape	
straightforward	instruction	installation	simple	process	assembly	clear	direction	setup	manual	
construction	sturdy	attractive	heavy	material	compact	solid	durable	grip	convenient	
space	room	small	home	floor	price	plenty	gym	tv	large	
shake	cardio	routine	triceps	definition	weight	excercise	biceps	toning	tricep	
nut	wrench	washer	ratchet	hex	socket	screw	allen	bolt	hole	
stand	pound	rack	easy	lb	wheel	shorter	bar	frame	stable	
cost	refund	expensive	sale	purchase	delivery	customer	buck	bargain	buy	
bottom	metal	box	place	material	piece	cheap	side	flat	line	
weight	claim	pin	easy	commercial	bowflex	increment	research	barbell	fitness	
average coherence	-140.10922233059264
