cheap	thin	piece	bent	plastic	steel	flimsy	metal	ring	price	
ring	picture	band	real	snag	prong	zirconia	wedding	life	justice	
stone	silver	design	clear	low	setting	easy	light	sterling	band	
ring	price	super	strong	durable	comfortable	feel	solid	smooth	expensive	
green	color	garnet	orange	darker	purple	bright	blue	white	beautiful	
peak	ring	pinky	puzzle	link	celtic	simple	sizing	band	correct	
topaz	knot	celtic	polished	cubic	claddagh	puzzle	compliment	lovely	sparkly	
diamond	titanium	plating	jade	unique	gold	gorgeous	amethyst	rhodium	gem	
ct	gaudy	cz	engagement	noticable	nicer	spinner	temporary	fake	feminine	
prompt	online	purchase	delivery	company	email	cost	shipping	refund	customer	
size	larger	bigger	fit	small	wide	large	normal	regular	width	
birthday	mom	present	sister	christmas	mother	friend	young	heart	girl	
finger	left	shape	width	tight	onyx	wide	thin	couple	surface	
ring	flat	side	back	top	place	bottom	center	rest	hard	
ring	beautiful	box	wear	hand	comment	true	cute	big	gift	
average coherence	-126.11459287425504
