hdfuryius	computer	usb	mini	desktop	connector	dongle	ipad	extension	plug	
flimsy	plastic	con	pocket	construction	cover	metal	material	durable	part	
noisy	loud	audible	speaker	noise	woofer	high	bic	level	air	
replacement	lifespan	lamp	hour	question	representative	bulb	bothersome	technical	support	
stud	wall	joist	ft	hole	tile	front	left	rear	line	
xbox	directv	vcr	broadcast	playstation	satellite	tv	television	show	channel	
simple	guide	quick	intuitive	straight	step	setup	breeze	process	instruction	
control	alarm	menu	button	option	eco	clock	universal	device	sleep	
review	rating	positive	expensive	model	negative	newer	cheaper	previous	due	
vga	dvi	hdmus	hdmi	analog	av	female	component	output	male	
room	movie	basement	darkened	theater	bedroom	onkyo	apartment	audience	ceiling	
vivid	sharp	contrast	saturation	sharpness	bright	color	vibrant	effect	image	
screen	picture	video	sound	refund	price	image	box	policy	shipping	
small	compact	large	smaller	larger	slot	memory	size	audience	card	
dark	blind	light	dim	bright	overhead	green	darker	led	gray	
average coherence	-133.01321450320435
