heavy	construction	material	lightweight	attractive	tough	solid	sturdy	pro	leather	
zoom	gatemouth	tamrac	nikon	accesory	rebel	mcguire	port	coolpix	slr	
belt	strap	closure	loop	graphite	nylon	zipper	pain	fabric	elastic	
dust	control	speed	sander	knob	setting	low	higher	switch	amp	
camera	lens	pocket	battery	big	extra	digital	compartment	card	room	
review	cost	online	experience	company	comment	purchase	rating	website	star	
tool	plenty	space	storage	small	length	handy	car	smaller	travel	
medium	fit	larger	smaller	bigger	size	large	snug	tall	price	
case	front	side	bottom	place	line	flat	corner	seat	base	
orbital	stationary	sander	skil	woodworker	platen	removal	craftsman	variable	contractor	
camera	lowepro	camcorder	kodak	worldproof	accessory	olympus	zoom	elph	slr	
cardboard	tape	edge	metal	box	thin	plastic	cheap	sand	rough	
difficult	short	job	period	kind	easier	longer	end	run	grip	
mesh	flap	cord	zippered	divider	pouch	wallet	exterior	slot	zip	
jumper	cable	tidy	cables	booster	charger	minus	cf	flashlight	macro	
average coherence	-134.19526745419031
