timer	button	menu	option	start	program	function	multiple	control	hour	
brown	cord	white	short	grain	plug	regular	setting	longer	length	
cereal	breakfast	soap	warm	timer	oatmeal	fresh	dinner	meal	heating	
small	counter	compact	kitchen	larger	cute	bigger	convenient	large	footprint	
replacement	customer	today	cost	information	warranty	service	return	aroma	question	
cup	water	amount	job	bowl	high	couple	normal	seconds	note	
super	easy	clean	convenient	ease	pro	simple	reliable	works	difficult	
pot	bottom	crunchy	layer	browned	line	crust	hole	starchy	aluminum	
basket	meat	steamer	tofu	vegetable	catcher	veggy	chicken	condensation	steam	
star	rating	positive	comment	research	negative	online	review	flaw	due	
instruction	guide	minute	english	recipe	correct	quick	direction	simple	breeze	
christmas	present	boyfriend	gift	mom	size	college	mine	machine	mother	
expensive	cheaper	model	glad	plunge	purchase	similar	buy	extra	satisfied	
basmatus	wild	sushi	mixed	ingredient	indian	hurry	pudding	oats	porridge	
coating	pan	lid	vessel	spoon	steel	oats	nonstick	pea	sticky	
average coherence	-131.2511788215858
