small	con	big	decent	lightweight	finger	large	bigger	clip	medium	
cord	extension	plug	connector	back	side	wire	rca	ft	attachment	
expensive	pair	buy	purchase	buck	dollar	money	budget	cost	extra	
fm	house	sound	floor	radio	wall	living	station	audio	transmitter	
ear	sound	phone	earbud	bottom	person	head	number	line	replacement	
flimsy	metal	plastic	construction	material	cheap	thin	design	flaw	cover	
comfortable	sore	cushion	secure	shape	headband	comfort	silicone	canal	rubber	
canceling	cancellation	background	noise	isolation	loud	audible	subway	noisy	hiss	
music	genre	itunes	playing	nano	ipod	lossless	album	audiobook	classic	
ear	shure	canal	fitting	bud	uncomfortable	skullcandy	fit	earpiece	pair	
akg	quietcomfort	rock	sennheiser	amp	listening	classical	bose	justice	hop	
charge	hour	life	aaa	price	rechargeable	sound	aa	long	half	
sound	control	volume	panel	show	television	knob	tv	tuning	channel	
rating	positive	review	research	negative	chance	minor	due	online	reviewer	
midrange	rich	bass	vocal	overwhelming	muddy	guitar	distortion	freq	mid	
average coherence	-136.05615863241607
